time,Computer,user,WorkstationName,Source_Workstation,IpAddress,name,event_count
4/21/2025 0:00,lab-terminalx.fishcm.com.vn,ANONYMOUS LOGON,FISHCM-WSUS2,FISHCM-WSUS2,10.86.30.231,An account was successfully logged on,7
4/21/2025 0:00,lab-terminalx.fishcm.com.vn,GMC-EGOVSALE4$,GMC-EGOVSALE4,GMC-EGOVSALE4,10.86.222.85,An account was successfully logged on,1
4/21/2025 0:15,lab-terminalx.fishcm.com.vn,ANONYMOUS LOGON,PB15-WS2019,PB15-WS2019,10.86.87.188,An account was successfully logged on,7
4/21/2025 0:15,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 0:45,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 1:00,lab-terminalx.fishcm.com.vn,LAB-TERMINALX$,-,-,::1,An account was successfully logged on,1
4/21/2025 1:15,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 1:45,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 2:15,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 2:30,lab-terminalx.fishcm.com.vn,LAB-TERMINALX$,-,-,::1,An account was successfully logged on,1
4/21/2025 2:45,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 3:15,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 3:45,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,2
4/21/2025 4:15,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 4:30,lab-terminalx.fishcm.com.vn,LAB-TERMINALX$,-,-,::1,An account was successfully logged on,1
4/21/2025 4:45,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 5:00,lab-terminalx.fishcm.com.vn,ANONYMOUS LOGON,FISHCM-WSUS2,FISHCM-WSUS2,10.86.30.231,An account was successfully logged on,7
4/21/2025 5:00,lab-terminalx.fishcm.com.vn,GMC-EGOVSALE4$,GMC-EGOVSALE4,GMC-EGOVSALE4,10.86.222.85,An account was successfully logged on,1
4/21/2025 5:15,lab-terminalx.fishcm.com.vn,ANONYMOUS LOGON,PB15-WS2019,PB15-WS2019,10.86.87.188,An account was successfully logged on,7
4/21/2025 5:15,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 5:45,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 6:15,lab-terminalx.fishcm.com.vn,LAB-TERMINALX$,-,-,::1,An account was successfully logged on,1
4/21/2025 6:15,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 6:45,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 7:00,lab-terminalx.fishcm.com.vn,LAB-TERMINALX$,-,-,-,An account was successfully logged on,1
4/21/2025 7:15,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 7:15,lab-terminalx.fishcm.com.vn,fishcm.support,NAMNH8-IT,NAMNH8-IT,10.86.132.246,An account was successfully logged on,1
4/21/2025 7:45,lab-terminalx.fishcm.com.vn,AF-THANGHM8$,AF-THANGHM8,AF-THANGHM8,10.86.133.1,An account was successfully logged on,1
4/21/2025 7:45,lab-terminalx.fishcm.com.vn,ANONYMOUS LOGON,AF-THUYHV,AF-THUYHV,10.86.132.207,An account was successfully logged on,7
4/21/2025 7:45,lab-terminalx.fishcm.com.vn,DT-YENNTH4$,DT-YENNTH4,DT-YENNTH4,10.86.84.215,User logon with misspelled or bad user account,6
4/21/2025 7:45,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 8:00,lab-terminalx.fishcm.com.vn,BNK-NHATNLV$,BNK-NHATNLV,BNK-NHATNLV,10.86.144.137,User logon with misspelled or bad user account,7
4/21/2025 8:00,lab-terminalx.fishcm.com.vn,LAB-TERMINALX$,-,-,::1,An account was successfully logged on,1
4/21/2025 8:15,lab-terminalx.fishcm.com.vn,PPD-MINHLT12$,PPD-MINHLT12,PPD-MINHLT12,10.86.132.237,User logon with misspelled or bad user account,6
4/21/2025 8:15,lab-terminalx.fishcm.com.vn,SYSTEM,-,-,-,An account was successfully logged on,1
4/21/2025 8:30,lab-terminalx.fishcm.com.vn,AF-THAONTT5$,AF-THAONTT5,AF-THAONTT5,10.86.142.198,User logon with misspelled or bad user account,7
4/21/2025 8:30,lab-terminalx.fishcm.com.vn,ANONYMOUS LOGON,BP-TRANBQ,BP-TRANBQ,10.86.62.173,An account was successfully logged on,7
4/21/2025 8:30,lab-terminalx.fishcm.com.vn,ANONYMOUS LOGON,GS-TIENDTC2,GS-TIENDTC2,10.86.142.156,An account was successfully logged on,7
4/21/2025 8:30,lab-terminalx.fishcm.com.vn,ES-ANHVTH9$,ES-ANHVTH9,ES-ANHVTH9,10.86.136.194,An account was successfully logged on,1
4/21/2025 8:30,lab-terminalx.fishcm.com.vn,fishcm.support,IT-DUCTM61,IT-DUCTM61,10.86.132.67,An account was successfully logged on,1
4/21/2025 8:45,lab-terminalx.fishcm.com.vn,ANONYMOUS LOGON,DCATRUS,DCATRUS,10.86.142.161,An account was successfully logged on,7
4/21/2025 8:45,lab-terminalx.fishcm.com.vn,BNK-TRANGNTN16$,BNK-TRANGNTN16,BNK-TRANGNTN16,10.86.144.191,User logon with misspelled or bad user account,7
